Size, Seq, Par, Libc
7000000, 1.658557, 1.121896, 1.754117
9000000, 2.217124, 1.367444, 2.281132
7000000, 1.684757, 1.077005, 1.736224
8000000, 1.938843, 1.152089, 1.993865
9000000, 2.244859, 1.280118, 2.314850
10000000, 2.446108, 1.442028, 2.591176
9000000, 2.177627, 1.434856, 2.286425
6000000, 1.445540, 0.924252, 1.506668
5000000, 1.195978, 0.740931, 1.228954
3000000, 0.684383, 0.541289, 0.717471
6000000, 1.477763, 0.919366, 1.474689
5000000, 1.185951, 0.781764, 1.219667
10000000, 2.461866, 1.506526, 2.524429
1000000, 0.214916, 0.336010, 0.219801
3000000, 0.685920, 0.627759, 0.695188
10000000, 2.414015, 1.533643, 2.532959
8000000, 1.944678, 1.273345, 1.975381
2000000, 0.450745, 0.420472, 0.453261
8000000, 1.942134, 1.246227, 2.002221
1000000, 0.213140, 0.391312, 0.221093
10000000, 2.500625, 1.367112, 2.552441
2000000, 0.441423, 0.365577, 0.455670
2000000, 0.446344, 0.414583, 0.454137
1000000, 0.214675, 0.242395, 0.212284
1000000, 0.219861, 0.345733, 0.214264
10000000, 2.454310, 1.464545, 2.551938
5000000, 1.207156, 0.769408, 1.205224
9000000, 2.185539, 1.340485, 2.274857
8000000, 1.955019, 1.160159, 2.061743
9000000, 2.172623, 1.276269, 2.304721
6000000, 1.435627, 0.920839, 1.480354
2000000, 0.451978, 0.447556, 0.455532
1000000, 0.220360, 0.381666, 0.219982
3000000, 0.692648, 0.530341, 0.691831
2000000, 0.460048, 0.401162, 0.454594
4000000, 0.967884, 0.718695, 0.965923
3000000, 0.677918, 0.507060, 0.701279
4000000, 0.941185, 0.665075, 0.979479
7000000, 1.717745, 1.076116, 1.781427
5000000, 1.189973, 0.820232, 1.224245
3000000, 0.712664, 0.624595, 0.703081
4000000, 0.981659, 0.686946, 0.960361
4000000, 0.957933, 0.740138, 0.955653
6000000, 1.433818, 0.892536, 1.479732
4000000, 0.938211, 0.670315, 0.970990
8000000, 1.921170, 1.238629, 2.022079
6000000, 1.431714, 0.952401, 1.498666
7000000, 1.742777, 1.071345, 1.772186
7000000, 1.699947, 1.033373, 1.732202
5000000, 1.227396, 0.839180, 1.214631
