Size, Seq, Par, Libc
400000, 0.078276, 0.263290, 0.078323
400000, 0.078375, 0.244677, 0.078699
400000, 0.079044, 0.240106, 0.079017
400000, 0.080018, 0.249102, 0.078362
400000, 0.087602, 0.203267, 0.077375
500000, 0.098900, 0.237202, 0.100078
500000, 0.099337, 0.235500, 0.106387
500000, 0.100231, 0.222908, 0.100806
500000, 0.100619, 0.241597, 0.100936
500000, 0.103614, 0.260310, 0.100202
600000, 0.120453, 0.235993, 0.125910
600000, 0.120511, 0.225625, 0.122452
600000, 0.125005, 0.276207, 0.122032
600000, 0.125584, 0.368562, 0.123631
600000, 0.127245, 0.377509, 0.126487
700000, 0.142198, 0.289784, 0.144177
700000, 0.142806, 0.323194, 0.145316
700000, 0.143931, 0.277133, 0.143811
700000, 0.148256, 0.299238, 0.143949
700000, 0.151506, 0.315813, 0.144804
800000, 0.165347, 0.294613, 0.181637
800000, 0.167397, 0.263106, 0.165774
800000, 0.167710, 0.269926, 0.166208
800000, 0.168107, 0.275402, 0.166409
800000, 0.171355, 0.296389, 0.171680
900000, 0.185506, 0.287597, 0.189218
900000, 0.186589, 0.264112, 0.190382
900000, 0.187378, 0.403067, 0.207481
900000, 0.195313, 0.259295, 0.193724
900000, 0.228482, 0.347370, 0.190558
